loaded 10000 candidate prompts (skip_lines=0)
  gen 1800 (skip 0) | gen_tok 799978 | 112.2 tok/s aggregate | 7133.1s
  gen 1825 (skip 0) | gen_tok 812163 | 112.4 tok/s aggregate | 7226.9s
  gen 1850 (skip 0) | gen_tok 823441 | 112.5 tok/s aggregate | 7319.9s
  gen 1875 (skip 0) | gen_tok 834419 | 112.8 tok/s aggregate | 7395.8s
  gen 1900 (skip 0) | gen_tok 846137 | 113.1 tok/s aggregate | 7480.8s
  gen 1925 (skip 0) | gen_tok 857423 | 112.9 tok/s aggregate | 7597.1s
  gen 1950 (skip 0) | gen_tok 868828 | 113.0 tok/s aggregate | 7687.6s
  gen 1975 (skip 0) | gen_tok 878857 | 113.3 tok/s aggregate | 7758.2s
  gen 2000 (skip 0) | gen_tok 890680 | 113.4 tok/s aggregate | 7851.8s
  gen 2025 (skip 0) | gen_tok 901979 | 113.7 tok/s aggregate | 7932.8s
  gen 2050 (skip 0) | gen_tok 913204 | 114.1 tok/s aggregate | 8006.3s
  gen 2075 (skip 0) | gen_tok 924357 | 114.2 tok/s aggregate | 8097.1s
  gen 2100 (skip 0) | gen_tok 935953 | 114.3 tok/s aggregate | 8189.7s
  gen 2125 (skip 0) | gen_tok 946799 | 114.4 tok/s aggregate | 8275.0s
  gen 2150 (skip 0) | gen_tok 957924 | 114.6 tok/s aggregate | 8357.0s
  gen 2175 (skip 0) | gen_tok 968215 | 114.7 tok/s aggregate | 8438.5s
  gen 2200 (skip 0) | gen_tok 979824 | 115.0 tok/s aggregate | 8517.4s
  gen 2225 (skip 0) | gen_tok 991004 | 115.2 tok/s aggregate | 8604.2s
  gen 2250 (skip 0) | gen_tok 1002549 | 115.4 tok/s aggregate | 8685.4s
  gen 2275 (skip 0) | gen_tok 1013087 | 115.5 tok/s aggregate | 8770.2s
  gen 2300 (skip 0) | gen_tok 1024375 | 115.6 tok/s aggregate | 8858.3s
  gen 2325 (skip 0) | gen_tok 1036085 | 115.9 tok/s aggregate | 8941.8s
  gen 2350 (skip 0) | gen_tok 1048134 | 116.0 tok/s aggregate | 9033.0s
  gen 2375 (skip 0) | gen_tok 1058204 | 116.1 tok/s aggregate | 9111.5s
  gen 2400 (skip 0) | gen_tok 1070149 | 116.3 tok/s aggregate | 9204.1s
  gen 2425 (skip 0) | gen_tok 1081178 | 116.4 tok/s aggregate | 9291.3s
  gen 2450 (skip 0) | gen_tok 1092196 | 116.5 tok/s aggregate | 9371.9s
  gen 2475 (skip 0) | gen_tok 1103401 | 116.7 tok/s aggregate | 9454.9s
  gen 2500 (skip 0) | gen_tok 1114500 | 116.9 tok/s aggregate | 9534.7s
  gen 2525 (skip 0) | gen_tok 1124479 | 117.1 tok/s aggregate | 9605.1s
  gen 2550 (skip 0) | gen_tok 1135226 | 117.2 tok/s aggregate | 9687.7s
  gen 2575 (skip 0) | gen_tok 1146072 | 117.2 tok/s aggregate | 9775.2s
